Системный администратор|middle|Лига Ставок|Москва (м. Белорусская)|['150000', 'null', '₽']|24 ноября 2022 г.|https://getmatch.ru/vacancies/10959-sistemnyi-administrator?s=offers
Unity and Windows Developer|middle|Planner 5D|полная удаленка|['3500', '4500', '€']|24 ноября 2022 г.|https://getmatch.ru/vacancies/10944-unity-and-windows-developer?s=offers
