Admint|Backend разработчик (Django)||parttime|25 ноября|['null', 120000, '₽']|https://geekjob.ru/vacancy/6380acfdc3a577f1ce05db04
Refocus|🇬🇧 Webinar Producer|Belgrade, Serbia|relocate, remote|25 ноября|['null', 'null', 'null']|https://geekjob.ru/vacancy/6380b05b12b2352c8f059e12
