Россельхозбанк|Системный архитектор/Архитектор ИТ-инфраструктуры|Можно удаленно|Девопс инженер, PostgreSQL, Базы данных|2022-11-28T18:50:56+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114103
Яндекс|Разработчик бэкенда в инфраструктуру краудсорсинга|Москва, Санкт-Петербург, Белград, Полный рабочий день|Бэкенд разработчик, Средний (Middle), Java, Kotlin, Java Spring Framework, PostgreSQL, Высоконагруженные системы, Hibernate, Redis, ClickHouse, JOOQ, Spring Boot|2022-11-28T18:54:10+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114104
VK|Старший С++ разработчик (команда баз данных)|Санкт-Петербург, Полный рабочий день, Можно удаленно|Разработчик баз данных, Старший (Senior), C++, Алгоритмы и структуры данных, Высоконагруженные системы, Базы данных|2022-11-21T18:56:48+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110641
Т1 Консалтинг|Ведущий аналитик-методолог 1С:УХ (регламентированный учет)|Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:37:08+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109359
SberDevices|Инженер по тестированию (Умный дом)|Москва, Полный рабочий день|Инженер по ручному тестированию, Средний (Middle), Тестирование API|2022-11-28T17:37:09+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114535
Т1 Консалтинг|Ведущий аналитик-методолог 1С:УХ (регламентированный учет)|Москва, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:37:16+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109360
Т1 Консалтинг|Ведущий аналитик-методолог 1С:УХ (регламентированный учет)|Санкт-Петербург, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:37:26+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109361
Т1 Консалтинг|Ведущий аналитик-методолог 1С:УХ (регламентированный учет)|Нижний Новгород, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:38:08+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109362
Т1 Консалтинг|Ведущий аналитик-методолог 1С:УХ (регламентированный учет)|Казань, Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), BPMN, Техническая документация, Бизнес аналитика, Описание бизнес-процессов, Автоматизация процессов, Разработка ТЗ, Управление бизнес-процессами|2022-11-21T17:38:34+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109363
РТЛабс|Java разработчик (Senior+)|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Старший (Senior), Java, Java Spring Framework, PostgreSQL, Высоконагруженные системы, Многопоточность|2022-11-28T17:42:29+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000100722
Почта Банк|Аналитик (технолог) АБС|Полный рабочий день, Можно удаленно|Системный аналитик, Старший (Senior), Анализ требований, Системная аналитика, SQL, Базы данных|2022-11-28T17:48:23+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000112579
Почта Банк|Senior Backend-developer (Java/Kotlin)|Можно удаленно|Бэкенд разработчик, Старший (Senior), Java, Spring Boot, Kotlin, Apache Camel, Redis, Oracle, Elasticsearch, Sentry, Kubernetes, Docker|2022-11-21T17:48:22+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000112580
.White Code| C++ developer (Senior)|Санкт-Петербург, Полный рабочий день|Бэкенд разработчик, Старший (Senior), Java, C++, C, Objective-С, ООП|2022-11-28T17:48:41+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000090398
.White Code|Python developer (Middle)|Санкт-Петербург, Полный рабочий день|Бэкенд разработчик, Средний (Middle), Python, Django, Redis, Git, PostgreSQL, RabbitMQ, Apache Kafka, Высоконагруженные системы|2022-11-28T17:48:41+03:00|['300000', '360000', '₽']|https://career.habr.com/vacancies/1000082657
Aston (ex. Andersen)|Аналитик 1С|Полный рабочий день, Можно удаленно|Системный аналитик, Средний (Middle), Системная аналитика, Системный анализ, Бизнес аналитика|2022-11-28T17:50:26+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114536
Self Studio|Дизайнер интерфейсов уровня middle|Полный рабочий день, Можно удаленно|Продуктовый дизайнер, Средний (Middle), Web Interface Design, UI/UX дизайн, Веб-дизайн, Figma Design, Дизайн мобильных приложений, Проектирование интерфейсов, Прототипирование, Дизайн продукта, Wireframes, Адаптивный дизайн, Разработка интерфейсов|2022-11-28T17:51:45+03:00|['2500', '3000', '$']|https://career.habr.com/vacancies/1000084876
Три Точки|TeamLead / CTO|Полный рабочий день, Можно удаленно|Архитектор баз данных, Ведущий (Lead), Управление людьми, Построение команды, Agile, Jira, Kanban, Проектное планирование, Scrum, Angular, Node.js, PostgreSQL|2022-11-28T17:52:13+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000111496
ЛАНИТ|Руководитель направления СПО|Москва, Полный рабочий день, Можно удаленно|Менеджер продукта, Старший (Senior), Linux, Системы виртуализации, Pre-sale|2022-11-28T17:53:24+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109364
Почта Банк|Технический писатель-методолог (ИТ)|Полный рабочий день, Можно удаленно|Технический писатель, Старший (Senior), HTML, Markdown, BPMN, UML|2022-11-28T17:56:46+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000113770
Bell Integrator|Технический лидер Data Lake (Remote)|Москва, Санкт-Петербург, Минск, Полный рабочий день, Можно удаленно|Архитектор баз данных, Ведущий (Lead), Apache Hadoop, Apache Spark, PostgreSQL|2022-11-28T18:00:27+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109367
Лаборатория Касперского|Senior Research Developer|Москва|Десктоп разработчик, Старший (Senior), Разработка программного обеспечения, .NET, C#, .NET Core|2022-11-28T18:03:39+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114837
Лаборатория Касперского|Developer|Москва|Бэкенд разработчик, Golang|2022-11-28T18:03:39+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110196
Банк ПСБ|Инженер средств защиты информации|Москва, Полный рабочий день|Инженер по безопасности, Старший (Senior), Защита информации, Сетевая безопасность|2022-11-28T18:04:33+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110850
Банк ПСБ|Администратор СЗИ (DLP – сетевые, агентские решения)|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), TCP|2022-11-28T18:05:47+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110849
Лаборатория Касперского|Системный разработчик C/C++ (KasperskyOS Mobile)|Москва|Десктоп разработчик, Разработка программного обеспечения, C++, C|2022-11-28T18:05:53+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114527
Банк ПСБ|Разработчик MS SQL /и/или Oracle|Москва, Полный рабочий день|Разработчик баз данных, Средний (Middle), PostgreSQL, Базы данных, Oracle, Microsoft SQL Server, Высоконагруженные системы|2022-11-28T18:06:06+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000101978
Россельхозбанк|DevOps engineer|Полный рабочий день, Можно удаленно|Девопс инженер, CI/CD, Kubernetes, PostgreSQL|2022-11-28T18:06:22+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114100
Банк ПСБ|Руководитель проектов в Центр управления данными|Москва, Полный рабочий день|Менеджер проекта, Старший (Senior), Управление проектами, Ведение переговоров, Проектное планирование, Бюджетирование проектов, Построение команды|2022-11-28T18:06:37+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000095970
